zona_codice,zona_nome
Sard-A,Iglesiente
Sard-B,Campidano
Sard-C,Bacini Montevecchio - Pischilappiu
Sard-D,Bacini Flumendosa - Flumineddu
Sard-E,Bacino del Tirso
Sard-F,Gallura
Sard-G,Logudoro
Sici-A,"Nord-Orientale, versante tirrenico e isole Eolie"
Sici-B,"Centro-Settentrionale, versante tirrenico"
Sici-C,Nord-Occidentale e isole Egadi e Ustica
Sici-D,Sud-Occidentale e isola di Pantelleria
Sici-E,Centro-Meridionale e isole Pelagie
Sici-F,"Sud-Orientale, versante Stretto di Sicilia"
Sici-G,"Sud-Orientale, versante ionico"
Sici-H,Bacino del Fiume Simeto
Sici-I,"Nord-Orientale, versante ionico"
Tosc-A1,Arno-Casentino
Tosc-A2,Arno-Valdarno Sup.
Tosc-A3,Arno-Firenze
Tosc-A4,Valdarno Inf.
Tosc-A5,Valdelsa-Valdera
Tosc-A6,Arno-Costa
Tosc-B,Bisenzio e Ombrone Pt
Tosc-C,Valdichiana
Tosc-E1,Etruria
Tosc-E2,Etruria-Costa Nord
Tosc-E3,Etruria-Costa Sud
Tosc-F1,Fiora e Albegna
Tosc-F2,Fiora e Albegna-Costa e Giglio
Tosc-I,Isole
Tosc-L,Lunigiana
Tosc-M,Mugello-Val di Sieve
Tosc-O1,Ombrone Gr-Alto
Tosc-O2,Ombrone Gr-Medio
Tosc-O3,Ombrone Gr-Costa
Tosc-R1,Reno
Tosc-R2,Romagna-Toscana
Tosc-S1,Serchio-Garfagnana-Lima
Tosc-S2,Serchio-Lucca
Tosc-S3,Serchio-Costa
Tosc-T,Valtiberina
Tosc-V,Versilia
Tren-A,Provincia Autonoma di Bolzano
Tren-B,Provincia Autonoma di Trento
Umbr-A,Alto Tevere
Umbr-B,Medio Tevere
Umbr-C,Chiascio - Topino
Umbr-D,Nera - Corno
Umbr-E,Trasimeno - Nestore
Umbr-F,Chiani - Paglia
VDAo-A,"Valle d?Aosta centrale, Valle del Gran San Bernardo da Aosta a Valpelline,Valle di Saint-Barthélemy e Valtournenche"
VDAo-B,"Bassa Valle d?Aosta, dalla Gola di Montjovet a Pont-Saint-Martin, Valle del torrente Chalamy, Valle d?Ayas, Valle di Champorcher e Valle di Gressoney"
VDAo-C,"Valle di Cogne, Valsavarenche e Valle di Rhêmes"
VDAo-D,"Dorsale settentrionale e nord-occidentale, Valgrisenche e Valdigne"
Vene-A,Alto Piave
Vene-B,Alto Brenta-Bacchiglione-Alpone
Vene-C,Adige-Garda e monti Lessini
Vene-D,"Po, Fissero-Tartaro-Canalbianco e Basso Adige"
Vene-E,Basso Brenta-Bacchiglione e Fratta Gorzone
Vene-F,"Basso Piave, Sile e Bacino scolante in laguna"
Vene-G,"Livenza, Lemene e Tagliamento"
Vene-H,Piave pedemontano
